Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder,Pub_ID,Study_ID,Repeated,Authors,Pub_Year,Pub_Type - Selected Choice,Pub_Type - Other - Text,Analysis_Level,Sample_Size,Sample_Age,Sample_Gender,Perspective_Describe - Verbal Instructions,Perspective_Describe - Mental Imagery,Perspective_Describe - Pictures,Perspective_Describe - N/A (only relevant if naturalistic),Perspective_Describe - Unknown,Distancing_Emphasis,Memory_Type,Cue_Type,Age_Constraint,Clinical_Mod - Selected Choice,Clinical_Mod - Other - Text,Clinical_Meas - Selected Choice,Clinical_Meas - Other: - Text,Perspective_Nature,Shift_Type,Emo_Mod,Perspective_Measurement,Outcome - Vividness,Outcome - Emotional Intensity,Outcome - Frequency,Outcome - Positive Emotion,Outcome - Negative Emotion,Outcome - Re-Experiencing,Outcome - Rehearsal,Outcome - Perspective Use (1st),Outcome - Perspective Use (3rd),Outcome - Age of Memory,Outcome - Perspective Use (Dichotomy),Memory_N,Design_1,Design_2,Vividness - First_Mean,Vividness - First_SD,Vividness - First_N,Vividness - Third_Mean,Vividness - Third_SD,Vividness - Third_N,Vividness - First_Corr,Vividness - Third_Corr,Vividness - What was the correlation with [Field-1] perspective?,Vividness - Between_Test,Emotional Intensity - First_Mean,Emotional Intensity - First_SD,Emotional Intensity - First_N,Emotional Intensity - Third_Mean,Emotional Intensity - Third_SD,Emotional Intensity - Third_N,Emotional Intensity - First_Corr,Emotional Intensity - Third_Corr,Emotional Intensity - What was the correlation with [Field-1] perspective?,Emotional Intensity - Between_Test,Frequency - First_Mean,Frequency - First_SD,Frequency - First_N,Frequency - Third_Mean,Frequency - Third_SD,Frequency - Third_N,Frequency - First_Corr,Frequency - Third_Corr,Frequency - What was the correlation with [Field-1] perspective?,Frequency - Between_Test,Positive Emotion - First_Mean,Positive Emotion - First_SD,Positive Emotion - First_N,Positive Emotion - Third_Mean,Positive Emotion - Third_SD,Positive Emotion - Third_N,Positive Emotion - First_Corr,Positive Emotion - Third_Corr,Positive Emotion - What was the correlation with [Field-1] perspective?,Positive Emotion - Between_Test,Negative Emotion - First_Mean,Negative Emotion - First_SD,Negative Emotion - First_N,Negative Emotion - Third_Mean,Negative Emotion - Third_SD,Negative Emotion - Third_N,Negative Emotion - First_Corr,Negative Emotion - Third_Corr,Negative Emotion - What was the correlation with [Field-1] perspective?,Negative Emotion - Between_Test,Re-Experiencing - First_Mean,Re-Experiencing - First_SD,Re-Experiencing - First_N,Re-Experiencing - Third_Mean,Re-Experiencing - Third_SD,Re-Experiencing - Third_N,Re-Experiencing - First_Corr,Re-Experiencing - Third_Corr,Re-Experiencing - What was the correlation with [Field-1] perspective?,Re-Experiencing - Between_Test,Rehearsal - First_Mean,Rehearsal - First_SD,Rehearsal - First_N,Rehearsal - Third_Mean,Rehearsal - Third_SD,Rehearsal - Third_N,Rehearsal - First_Corr,Rehearsal - Third_Corr,Rehearsal - What was the correlation with [Field-1] perspective?,Rehearsal - Between_Test,Perspective Use (1st) - First_Mean,Perspective Use (1st) - First_SD,Perspective Use (1st) - First_N,Perspective Use (1st) - Third_Mean,Perspective Use (1st) - Third_SD,Perspective Use (1st) - Third_N,Perspective Use (1st) - First_Corr,Perspective Use (1st) - Third_Corr,Perspective Use (1st) - What was the correlation with [Field-1] perspective?,Perspective Use (1st) - Between_Test,Perspective Use (3rd) - First_Mean,Perspective Use (3rd) - First_SD,Perspective Use (3rd) - First_N,Perspective Use (3rd) - Third_Mean,Perspective Use (3rd) - Third_SD,Perspective Use (3rd) - Third_N,Perspective Use (3rd) - First_Corr,Perspective Use (3rd) - Third_Corr,Perspective Use (3rd) - What was the correlation with [Field-1] perspective?,Perspective Use (3rd) - Between_Test,Age of Memory - First_Mean,Age of Memory - First_SD,Age of Memory - First_N,Age of Memory - Third_Mean,Age of Memory - Third_SD,Age of Memory - Third_N,Age of Memory - First_Corr,Age of Memory - Third_Corr,Age of Memory - What was the correlation with [Field-1] perspective?,Age of Memory - Between_Test,Perspective Use (Dichotomy) - First_Mean,Perspective Use (Dichotomy) - First_SD,Perspective Use (Dichotomy) - First_N,Perspective Use (Dichotomy) - Third_Mean,Perspective Use (Dichotomy) - Third_SD,Perspective Use (Dichotomy) - Third_N,Perspective Use (Dichotomy) - First_Corr,Perspective Use (Dichotomy) - Third_Corr,Perspective Use (Dichotomy) - What was the correlation with [Field-1] perspective?,Perspective Use (Dichotomy) - Between_Test,Notes
14/07/2018 09:26,14/07/2018 09:29,IP Address,86.161.106.11,100,207,TRUE,14/07/2018 09:29,R_1E0RnvcuIPruhDR,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,28,1,No,"McIsaac, H., K., &; Eich, E.",2002,Journal Article,-99,Participants,52,19,31,Verbal Instructions,,,,,No,Episodic / Lab based,Specific event i.e. first time you did 'x' / bespoke cue from prior session,Only recent memories,No,-99,,,Deliberate,,No,Two separate scales (1st and 3rd),Vividness,Emotional Intensity,,,,,,,,,,6,Experimental,Between-Subjects / Independent Measures,5,-99,26,3.9,-99,26,,,,"t(50) = 3.27, p = .002",4.4,-99,26,2.9,-99,26,,,,t(50) = 4.12 p &lt;.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No SDs or SEs were available for the mean comparisons, they'll have to be imputed or exclude this study
Perspective use was measured as the amount time spent in the manipulated perspective. Not currently coded. "
15/07/2018 04:43,15/07/2018 05:37,IP Address,86.161.106.11,100,3245,TRUE,15/07/2018 05:37,R_1MXRnd0LvKUNDER,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,94,1,No,"Sutin, A., R., & Robins, R., W.",2010,Journal Article,-99,Participants,706,20,445,Verbal Instructions,,,,,No,Autobiographical,Specific event i.e. first time you did 'x' / bespoke cue from prior session,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Single Scale,Vividness,Emotional Intensity,,,,,,,,,,1,Experimental,Between-Subjects / Independent Measures,4.22,0.69,335,3.72,0.76,115,,,,"t(182.65) = 6.23, p &lt; .001",4.04,0.82,335,3.63,0.85,115,,,,"t(191.80) = 4.50, p &lt; .001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t-tests had to be manually calculated
16/07/2018 02:45,16/07/2018 02:48,IP Address,86.161.106.11,100,185,TRUE,16/07/2018 02:48,R_AKCSDIpH6PvLDrz,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,50,1,No,"Bernsten, D., & Rubin, D., C.",2006,Journal Article,-99,Participants,122,27,99,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Unknown,No,-99,,,Deliberate,,No,Single Scale,Vividness,Emotional Intensity,,,,Re-Experiencing,Rehearsal,,,Age of Memory,,10,Experimental,Between-Subjects / Independent Measures,5.19,0.68,42,5.31,0.77,40,,,,"t(77.68) = 0.75, p = .458",4.75,0.93,42,4.79,1.09,40,,,,"t(76.74) = 0.18, p = .859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,0.87,42,4.65,0.94,40,,,,"t(78.74) = 0.70, p = .487",3.5,0.89,42,3.73,0.74,40,,,,"t(78.59) = 1.27, p = .206",,,,,,,,,,,,,,,,,,,,,5.14,3.07,42,5.87,3.15,40,,,,"t(79.55) = 1.06, p = .291",,,,,,,,,,,"These were sourced from part 1 for the deliberate ('forced') perspective taking. The shifted perspective aspect in part 2 is asking a slightly different question, and the neutral group in part 1 is a spontaneous recall condition. "
16/07/2018 04:05,16/07/2018 04:15,IP Address,86.161.106.11,100,609,TRUE,16/07/2018 04:15,R_3L2aGRDnqeuMMMG,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,91,1,No,"Robinaugh, D.,J., & McNally, R,. J.",2010,Journal Article,-99,Participants,140,21.5,85,,,,,Unknown,Unknown,Autobiographical,Emotional i.e. positive event,Unknown,No,-99,,,Spontaneous (naturalistic),,Negative Cue,Single Scale,,Emotional Intensity,,,,,,,,,,1,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,4.9,1.53,24,4.4,1.83,93,,,,"t(41.70) = 1.37, p = .179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Only dv I felt comfortable coding is emotional intensity here. They say they've used the AMQ but then report adding a question about emotional intensity even though there is one within the AMQ. 
Furthermore, the dimensions they report the means and SDs for don't strictly match those of the AMQ, some are clearly analogues. But the combination of these two points makes me unsure how true to vividness, the 'detail' dimension might be (assuming that is what it's meant to represent). 

Exact group sizes unknown, a range is given, so the median of the range was chosen each time, and rounded down to be conservative. "
16/07/2018 07:52,16/07/2018 08:03,IP Address,86.161.106.11,100,662,TRUE,16/07/2018 08:03,R_2WD4QjtZo1hZMir,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,188,1,No,"Butler, A., C., Rice, H., J. Wooldridge, C., L., & Rubin, D., C.",2016,Journal Article,-99,Participants,32,20,-99,,,,,Unknown,Unknown,Autobiographical,General event i.e. event from a holiday,Only recent memories,No,-99,,,Spontaneous (naturalistic),,No,Two separate scales (1st and 3rd),Vividness,,,,,,,,,,,12,Correlational,,,,,,,,0.25,-0.05,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
16/07/2018 08:04,16/07/2018 08:08,IP Address,86.161.106.11,100,292,TRUE,16/07/2018 08:08,R_1eDV4xiCJ0s6Eyb,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,188,2,No,"Butler, A., C, Rice, H., J, Wooldridge, C., L & Rubin, D.,C",2016,Journal Article,-99,Participants,40,20,-99,,,,,Unknown,Unknown,Autobiographical,General event i.e. event from a holiday,Only recent memories,No,-99,,,Spontaneous (naturalistic),,No,Two separate scales (1st and 3rd),Vividness,,,,,,,,,,,6,Correlational,,,,,,,,0.56,-0.22,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correlations are not working well in this scheme
16/07/2018 08:30,16/07/2018 08:31,IP Address,86.161.106.11,100,75,TRUE,16/07/2018 08:31,R_26nIc56dDfQrbS1,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,255,1,No,"Marcotti, P., & St. Jacques, P. L.",2017,Journal Article,-99,Participants,20,21.65,16,Verbal Instructions,,,,,No,Episodic / Lab based,Specific event i.e. first time you did 'x' / bespoke cue from prior session,Only recent memories,No,-99,,,Deliberate,,No,Two separate scales (1st and 3rd),Vividness,Emotional Intensity,,,,Re-Experiencing,,,,,,16,Experimental,Within-Subjects / Repeated Measures,3.91,0.47,20,3.54,0.7,20,,,,"t(19) = 2.73, p = .013",3.05,1.19,20,2.99,1.46,20,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,1.29,20,4.17,1.51,20,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed session two vividness values in with session 3 phenomenological characterisitcs. t-tests and p-values unavailable for the emotional intensity and reliving dimensions. 
16/07/2018 09:10,16/07/2018 09:13,IP Address,86.161.106.11,100,183,TRUE,16/07/2018 09:13,R_bshFZxQ2TZtBOs9,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,1,1,No,"Nigro, G., & Neisser, U.",1983,Journal Article,-99,Memories,20,20,-99,Verbal Instructions,,,,,No,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Categorical,,,Frequency,,,,,,,,,10,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,,,,,,,,,,,-99,-99,100,-99,-99,71,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
16/07/2018 09:13,16/07/2018 09:22,IP Address,86.161.106.11,100,510,TRUE,16/07/2018 09:22,R_Pv4IsEW0LkVpQY1,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,1,2,No,"Nigro, G., & Neisser, U.",1983,Journal Article,-99,Participants,40,20,-99,Verbal Instructions,,,,,No,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Categorical,Vividness,,Frequency,,,,,,,Age of Memory,,8,Experimental,Between-Subjects / Independent Measures,1.8,-99,-99,2,-99,-99,,,,"t(31) = 2.13, p = .041",,,,,,,,,,,-99,-99,137,-99,-99,154,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,-99,-99,35,-99,-99,,,,"t(31) = 2.97, p = .006",,,,,,,,,,,-99
19/07/2018 07:04,19/07/2018 07:15,IP Address,86.161.106.11,100,628,TRUE,19/07/2018 07:15,R_1kGnltspXUBlJci,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,379,1,No,"Vella, N., C., & Moulds, M., L.",2014,Journal Article,-99,Participants,80,20.35,53,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Only recent memories,No,-99,,,Shifted,,Positive Cue,Categorical,Vividness,,,Positive Emotion,,,,,,,,1,Experimental,Between-Subjects / Independent Measures,69.69,25.05,32,66.31,21.27,42,,,,"t(60.59) = 0.61, p = .542",,,,,,,,,,,,,,,,,,,,,82.19,20.32,32,70.95,19.07,42,,,,"t(64.58) = 2.42, p = .018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
19/07/2018 07:29,19/07/2018 07:31,IP Address,86.161.106.11,100,134,TRUE,19/07/2018 07:31,R_31Hj1iW8aU1VU7z,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,379,1,No,"Vella, N., C., & Moulds, M., L.",2014,Journal Article,-99,Participants,80,20.35,53,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Only recent memories,No,-99,,,Spontaneous (naturalistic),,Positive Cue,Categorical,Vividness,Emotional Intensity,Frequency,Positive Emotion,,,,,,Age of Memory,,1,Experimental,Between-Subjects / Independent Measures,80,12.83,42,76.72,20.54,32,,,,"t(48.90) = 0.79, p = .432",4.79,1.52,42,5,1.41,32,,,,"t(72) = 0.62, p = .537",-99,-99,42,-99,-99,32,,,,-99,81.76,13.07,42,86.38,12.32,32,,,,"t(68.74) = 1.56, p = .124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,6.96,42,10.53,6.47,32,,,,"t(69.13) = 2.02, p = .047",,,,,,,,,,,-99
